
1,1,3,54,320,111,173,83,UP;null,DOWN;73;19;173;18,RIGHT;53;87;173;98,LEFT;null,,1,RIGHT,,1,-12,1
0,0,3,58,280,95,189,79,UP;null,DOWN;105;99;189;2147483647,RIGHT;118;19;189;2147483647,LEFT;57;83;189;2147483647,,0,RIGHT,,0,24,1
2,2,3,66,350,127,157,78,UP;65;71;157;82,DOWN;137;99;157;92,RIGHT;102;112;157;105,LEFT;null,,2,UP,,2,32,1
3,3,3,74,410,151,133,74,UP;null,DOWN;null,RIGHT;73;71;133;94,LEFT;73;47;133;70,,3,LEFT,,3,-37,1
8,8,3,34,550,207,77,26,UP;null,DOWN;null,RIGHT;33;43;77;34,LEFT;105;31;77;60,,8,LEFT,,8,-30,1
9,9,3,111,610,231,53,2,UP;null,DOWN;134;87;53;102,RIGHT;null,LEFT;110;31;53;72,,9,DOWN,,9,83,1
4,4,3,42,450,167,117,58,UP;null,DOWN;null,RIGHT;41;31;117;86,LEFT;53;99;117;14,,4,LEFT,,4,-18,1
5,5,3,70,450,167,117,58,UP;69;19;117;66,DOWN;141;115;117;132,RIGHT;93;99;117;97,LEFT;null,,5,UP,,5,6,1
6,6,3,66,510,191,93,34,UP;65;79;93;20,DOWN;null,RIGHT;null,LEFT;97;87;93;100,,6,UP,,6,34,1
11,11,3,38,660,235,197,114,UP;133;40;197;2147483647,DOWN;null,RIGHT;37;20;197;2147483647,LEFT;null,,11,RIGHT,,11,-1,1
10,10,3,64,660,233,199,116,UP;null,DOWN;null,RIGHT;63;22;199;2147483647,LEFT;108;31;199;2147483647,,10,RIGHT,,10,-12,1
7,7,3,34,510,191,93,34,UP;null,DOWN;null,RIGHT;33;59;93;78,LEFT;45;19;93;72,,7,RIGHT,,7,-47,1
12,12,3,28,720,257,175,108,UP;null,DOWN;59;35;175;2147483647,RIGHT;27;22;175;2147483647,LEFT;null,,12,DOWN,,12,-48,1
13,13,3,60,950,273,159,124,UP;null,DOWN;null,RIGHT;59;31;159;2147483647,LEFT;104;87;159;2147483647,,13,RIGHT,,13,-37,1
14,14,3,64,950,273,159,124,UP;null,DOWN;87;99;159;2147483647,RIGHT;null,LEFT;63;19;159;2147483647,,14,LEFT,,14,-17,1
15,15,3,32,1410,297,135,116,UP;null,DOWN;95;99;135;2147483647,RIGHT;31;27;135;2147483647,LEFT;null,,15,RIGHT,,15,-47,1
16,16,2,113,4430,623,191,2147483647,UP;112;19;191;2147483647,DOWN;null,RIGHT;null,LEFT;112;51;191;2147483647,,16,UP,,16,33,1
18,18,2,72,4470,639,175,2147483647,UP;null,DOWN;71;3;175;2147483647,RIGHT;95;52;175;2147483647,LEFT;null,,18,RIGHT,,18,-12,1
19,19,2,77,4490,647,167,2147483647,UP;null,DOWN;null,RIGHT;87;3;167;2147483647,LEFT;76;62;167;2147483647,,19,RIGHT,,19,-15,1
17,17,2,95,4440,629,185,2147483647,UP;118;90;185;2147483647,DOWN;null,RIGHT;null,LEFT;94;66;185;2147483647,,17,LEFT,,17,-63,1
21,21,2,72,4590,687,127,2147483647,UP;null,DOWN;null,RIGHT;71;99;127;2147483647,LEFT;95;52;127;2147483647,,21,RIGHT,,21,12,1
20,20,2,105,4550,671,143,2147483647,UP;115;71;143;2147483647,DOWN;null,RIGHT;null,LEFT;104;71;143;2147483647,,20,UP,,20,-19,1
22,22,2,80,4610,695,119,2147483647,UP;null,DOWN;null,RIGHT;79;3;119;2147483647,LEFT;100;56;119;2147483647,,22,RIGHT,,22,-20,1
23,23,2,63,4620,701,113,2147483647,UP;62;86;113;2147483647,DOWN;145;62;113;2147483647,RIGHT;null,LEFT;62;89;113;2147483647,,23,DOWN,,23,-43,1
24,24,2,84,4650,711,103,2147483647,UP;null,DOWN;107;75;103;2147483647,RIGHT;83;89;103;2147483647,LEFT;null,,24,RIGHT,,24,60,1
27,27,2,152,4650,743,71,2147483647,UP;null,DOWN;null,RIGHT;151;47;71;2147483647,LEFT;159;38;71;2147483647,,27,RIGHT,,27,64,1
29,29,2,124,4650,767,47,2147483647,UP;null,DOWN;171;95;47;2147483647,RIGHT;123;23;47;2147483647,LEFT;null,,29,RIGHT,,29,71,1
25,25,2,92,4650,719,95,2147483647,UP;null,DOWN;115;71;95;2147483647,RIGHT;91;3;95;2147483647,LEFT;null,,25,DOWN,,25,39,1
26,26,2,158,4650,725,89,2147483647,UP;null,DOWN;170;56;89;2147483647,RIGHT;157;56;89;2147483647,LEFT;null,,26,RIGHT,,26,120,1
28,28,2,60,4650,759,55,2147483647,UP;59;99;55;2147483647,DOWN;null,RIGHT;107;75;55;2147483647,LEFT;null,,28,UP,,28,3,1
30,30,2,100,4650,767,47,2147483647,UP;null,DOWN;123;23;47;2147483647,RIGHT;99;71;47;2147483647,LEFT;null,,30,RIGHT,,30,71,1
31,31,2,106,4650,773,41,2147483647,UP;null,DOWN;153;38;41;2147483647,RIGHT;105;62;41;2147483647,LEFT;null,,31,RIGHT,,31,72,1
33,33,2,88,4650,791,23,2147483647,UP;87;23;23;2147483647,DOWN;null,RIGHT;111;47;23;2147483647,LEFT;null,,33,UP,,33,45,1
32,32,2,24,4650,783,31,2147483647,UP;23;131;31;2147483647,DOWN;null,RIGHT;79;75;31;2147483647,LEFT;127;90;31;2147483647,,32,RIGHT,,32,15,1
34,34,3,113,350,124,191,97,UP;112;19;191;2147483647,DOWN;139;79;191;2147483647,RIGHT;null,LEFT;null,,34,UP,,34,25,1
37,37,3,80,410,148,167,89,UP;79;83;167;2147483647,DOWN;null,RIGHT;79;19;167;2147483647,LEFT;92;19;167;2147483647,,37,LEFT,,37,15,1
35,35,3,109,370,132,183,105,UP;108;19;183;2147483647,DOWN;null,RIGHT;143;39;183;2147483647,LEFT;108;96;183;2147483647,,35,RIGHT,,35,37,1
40,40,3,88,520,196,119,76,UP;87;64;119;2147483647,DOWN;124;55;119;2147483647,RIGHT;null,LEFT;null,,40,UP,,40,-4,1
38,38,3,12,480,180,135,92,UP;11;95;135;2147483647,DOWN;107;83;135;2147483647,RIGHT;91;80;135;2147483647,LEFT;null,,38,RIGHT,,38,-12,1
