
0,0,3,76,270,90,179,96,UP;131;111;179;99,DOWN;null,RIGHT;136;15;179;27,LEFT;75;111;179;104,,0,RIGHT,,0,-24,1
1,1,3,44,350,122,147,64,UP;99;111;147;87,DOWN;51;103;147;87,RIGHT;null,LEFT;43;111;147;100,,1,DOWN,,1,-45,1
3,3,3,88,400,162,107,64,UP;95;111;107;39,DOWN;87;79;107;107,RIGHT;92;100;107;59,LEFT;null,,3,UP,,3,80,1
4,4,3,100,400,186,83,84,UP;null,DOWN;null,RIGHT;107;132;83;55,LEFT;99;111;83;3,,4,RIGHT,,4,80,1
2,2,3,64,400,146,123,48,UP;null,DOWN;111;79;123;99,RIGHT;null,LEFT;63;111;123;132,,2,LEFT,,2,80,1
5,5,3,89,420,218,51,52,UP;99;100;51;88,DOWN;123;135;51;147,RIGHT;null,LEFT;88;100;51;88,,5,DOWN,,5,80,1
7,7,2,83,640,341,181,103,UP;82;84;181;86,DOWN;null,RIGHT;null,LEFT;117;43;181;30,,7,UP,,7,80,1
8,8,2,59,900,365,157,91,UP;93;75;157;50,DOWN;null,RIGHT;58;88;157;113,LEFT;null,,8,RIGHT,,8,80,1
6,6,2,58,600,325,197,91,UP;null,DOWN;81;19;197;2147483647,RIGHT;null,LEFT;57;99;197;2147483647,,6,LEFT,,6,80,1
9,9,2,86,940,381,141,98,UP;85;75;141;32,DOWN;101;91;141;118,RIGHT;110;43;141;70,LEFT;null,,9,RIGHT,,9,80,1
10,10,1,94,1320,542,185,102,UP;93;19;185;2147483647,DOWN;93;91;185;2147483647,RIGHT;null,LEFT;null,,10,DOWN,,10,56,1
12,12,1,90,1380,582,145,122,UP;null,DOWN;89;39;145;2147483647,RIGHT;null,LEFT;169;87;145;2147483647,,12,DOWN,,12,0,1
11,11,1,51,1340,550,177,94,UP;122;71;177;2147483647,DOWN;null,RIGHT;133;71;177;2147483647,LEFT;50;64;177;2147483647,,11,UP,,11,-31,1
