
0,0,3,7,20,UP;null,DOWN;null,LEFT;2147483647;2147483647;0;75;3,RIGHT;2147483647;2147483647;0;39;3,,0,LEFT,,0,60,1
1,1,3,19,50,UP;null,DOWN;2147483647;2147483647;0;83;3,LEFT;2147483647;2147483647;0;63;3,RIGHT;null,,1,LEFT,,1,60,1
2,2,3,31,80,UP;null,DOWN;2147483647;2147483647;0;83;3,LEFT;2147483647;2147483647;0;51;3,RIGHT;null,,2,LEFT,,2,160,1
3,3,3,43,110,UP;132;2147483647;0;99;3,DOWN;null,LEFT;66;2147483647;0;39;3,RIGHT;null,,3,UP,,3,130,1
4,4,3,103,240,UP;null,DOWN;null,LEFT;46;2147483647;0;75;15,RIGHT;46;2147483647;0;39;3,,4,LEFT,,4,220,1
5,5,3,115,240,UP;null,DOWN;22;2147483647;0;83;3,LEFT;104;2147483647;0;63;15,RIGHT;null,,5,LEFT,,5,290,1
6,6,3,215,460,UP;null,DOWN;2147483647;82;163;119;3,LEFT;2147483647;83;163;84;15,RIGHT;2147483647;52;163;87;27,,6,DOWN,,6,70,1
9,9,3,291,530,UP;null,DOWN;2147483647;92;87;83;23,LEFT;null,RIGHT;2147483647;44;87;95;35,,9,DOWN,,9,40,1
9,9,3,315,540,UP;null,DOWN;2147483647;80;63;59;3,LEFT;2147483647;104;63;59;3,RIGHT;null,,9,DOWN,,9,60,1
9,9,3,327,570,UP;null,DOWN;null,LEFT;2147483647;74;51;47;3,RIGHT;2147483647;68;51;83;3,,9,DOWN,,9,120,1
10,10,3,339,600,UP;null,DOWN;2147483647;68;39;75;3,LEFT;null,RIGHT;2147483647;50;39;71;11,,10,DOWN,,10,180,1
11,11,3,375,690,UP;null,DOWN;null,LEFT;2147483647;116;3;39;3,RIGHT;2147483647;50;3;75;3,,11,DOWN,,11,120,1
12,12,3,411,780,UP;45;2147483647;0;95;3,DOWN;null,LEFT;null,RIGHT;49;2147483647;0;39;3,,12,LEFT,,12,200,1
13,13,3,423,810,UP;49;2147483647;0;59;3,DOWN;null,LEFT;null,RIGHT;89;2147483647;0;27;3,,13,LEFT,,13,200,1
14,14,3,475,980,UP;2147483647;75;175;91;3,DOWN;null,LEFT;2147483647;51;175;107;3,RIGHT;null,,14,DOWN,,14,80,1
15,15,3,487,1010,UP;null,DOWN;2147483647;61;163;111;3,LEFT;2147483647;33;163;95;3,RIGHT;null,,15,DOWN,,15,50,1
18,18,3,651,1060,UP;95;2147483647;0;91;3,DOWN;null,LEFT;82;2147483647;0;107;15,RIGHT;null,,18,LEFT,,18,30,1
18,18,3,663,1060,UP;null,DOWN;106;2147483647;0;111;39,LEFT;58;2147483647;0;95;3,RIGHT;null,,18,LEFT,,18,60,1
