
0,0,3,3,10,UP;650;650;0;67;3,DOWN;650;650;0;47;3,LEFT;650;650;0;72;24,RIGHT;null,,0,UP,,0,141,1930,1
4,4,3,80,150,UP;null,DOWN;null,LEFT;69;650;0;47;3,RIGHT;109;650;0;15;3,,4,RIGHT,,4,241,1930,1
7,7,3,172,390,UP;null,DOWN;29;5;123;95;47,LEFT;89;21;123;103;47,RIGHT;101;89;123;92;23,,7,LEFT,,7,201,1930,1
8,8,3,208,390,UP;97;107;87;67;11,DOWN;89;3;87;95;51,LEFT;102;51;87;67;39,RIGHT;null,,8,DOWN,,8,611,1930,1
15,15,3,368,1260,UP;650;57;171;119;3,DOWN;null,LEFT;650;37;171;87;3,RIGHT;null,,15,UP,,15,111,1930,1
16,16,3,392,1320,UP;null,DOWN;null,LEFT;650;45;147;95;3,RIGHT;650;40;147;108;3,,16,LEFT,,16,51,1930,1
17,17,3,404,1350,UP;650;58;135;120;3,DOWN;null,LEFT;650;39;135;83;3,RIGHT;null,,17,UP,,17,31,1930,1
18,18,3,416,1370,UP;null,DOWN;null,LEFT;650;62;123;119;59,RIGHT;650;52;123;108;27,,18,LEFT,,18,41,1930,1
19,19,3,440,1370,UP;null,DOWN;null,LEFT;650;92;99;95;35,RIGHT;650;44;99;128;51,,19,LEFT,,19,71,1930,1
20,20,3,452,1370,UP;null,DOWN;650;103;87;83;23,LEFT;650;86;87;103;47,RIGHT;null,,20,DOWN,,20,81,1930,1
22,22,3,488,1410,UP;null,DOWN;null,LEFT;650;49;51;47;3,RIGHT;650;49;51;87;3,,22,RIGHT,,22,61,1930,1
23,23,3,500,1440,UP;null,DOWN;650;39;39;75;3,LEFT;null,RIGHT;650;87;39;123;11,,23,RIGHT,,23,31,1930,1
24,24,3,512,1450,UP;null,DOWN;650;81;27;111;3,LEFT;null,RIGHT;650;105;27;132;3,,24,RIGHT,,24,21,1930,1
25,25,3,524,1470,UP;650;118;15;120;39,DOWN;null,LEFT;null,RIGHT;650;99;15;120;15,,25,UP,,25,1,1930,1
26,26,3,536,1470,UP;null,DOWN;null,LEFT;650;106;3;119;63,RIGHT;650;112;3;108;27,,26,LEFT,,26,1,1930,1
27,27,3,560,1470,UP;null,DOWN;null,LEFT;59;650;0;95;39,RIGHT;83;650;0;128;51,,27,LEFT,,27,1,1930,1
28,28,3,572,1470,UP;null,DOWN;107;650;0;83;27,LEFT;35;650;0;103;47,RIGHT;null,,28,DOWN,,28,1,1930,1
37,37,1,872,1890,UP;null,DOWN;null,LEFT;73;650;0;159;3,RIGHT;5;650;0;148;3,,37,LEFT,,37,31,1930,1
38,38,1,884,1920,UP;null,DOWN;73;650;0;160;3,LEFT;89;650;0;147;3,RIGHT;null,,38,LEFT,,38,1,1930,1

43,43,3,136,360,UP;650;31;175;91;3,DOWN;null,LEFT;null,RIGHT;650;79;175;107;3,,43,UP,,43,101,1010,1
44,44,3,148,390,UP;650;25;163;79;3,DOWN;null,LEFT;null,RIGHT;650;93;163;119;3,,44,UP,,44,101,1010,1
45,45,3,160,420,UP;650;51;151;67;3,DOWN;null,LEFT;650;88;151;72;24,RIGHT;650;19;151;115;59,,45,LEFT,,45,101,1010,1
46,46,3,185,430,UP;650;76;126;67;3,DOWN;650;98;126;47;3,LEFT;650;76;126;115;59,RIGHT;null,,46,DOWN,,46,151,1010,1
47,47,3,197,460,UP;null,DOWN;650;104;114;35;3,LEFT;650;80;114;83;3,RIGHT;null,,47,DOWN,,47,151,1010,1
50,50,3,245,580,UP;null,DOWN;null,LEFT;650;104;66;107;3,RIGHT;650;126;66;27;3,,50,LEFT,,50,151,1010,1
51,51,3,257,610,UP;650;86;54;95;3,DOWN;null,LEFT;650;110;54;143;3,RIGHT;null,,51,DOWN,,51,121,1010,1
54,54,2,364,730,UP;null,DOWN;650;650;0;47;15,LEFT;650;650;0;115;59,RIGHT;650;650;0;92;28,,54,LEFT,,54,41,1010,1
55,55,2,400,730,UP;13;650;0;79;23,DOWN;105;650;0;107;47,LEFT;null,RIGHT;null,,55,DOWN,,55,61,1010,1
59,59,2,472,790,UP;null,DOWN;85;650;0;75;23,LEFT;105;650;0;123;15,RIGHT;null,,59,DOWN,,59,31,1010,1
61,61,2,544,820,UP;105;650;0;107;39,DOWN;null,LEFT;109;650;0;131;15,RIGHT;null,,61,DOWN,,61,31,1010,1
62,62,2,556,820,UP;85;650;0;119;3,DOWN;null,LEFT;101;650;0;143;55,RIGHT;null,,62,DOWN,,62,31,1010,1
63,63,2,608,820,UP;85;650;0;91;15,DOWN;null,LEFT;null,RIGHT;73;650;0;107;3,,63,LEFT,,63,31,1010,1
64,64,2,620,850,UP;null,DOWN;5;650;0;111;3,LEFT;null,RIGHT;77;650;0;95;3,,64,DOWN,,64,1,1010,1
65,65,1,672,850,UP;114;650;0;119;3,DOWN;null,LEFT;null,RIGHT;138;650;0;87;51,,65,LEFT,,65,161,1010,1
66,66,1,684,850,UP;114;650;0;107;39,DOWN;null,LEFT;null,RIGHT;162;650;0;75;51,,66,LEFT,,66,161,1010,1
69,69,1,784,1010,UP;650;75;175;91;15,DOWN;null,LEFT;650;78;175;139;15,RIGHT;null,,69,DOWN,,69,1,1010,1
70,70,1,796,1010,UP;null,DOWN;650;108;163;167;87,LEFT;650;60;163;127;3,RIGHT;null,,70,DOWN,,70,1,1010,1
71,71,1,820,1010,UP;null,DOWN;null,LEFT;650;94;139;175;63,RIGHT;650;134;139;143;67,,71,LEFT,,71,1,1010,1
72,72,1,832,1010,UP;650;88;127;163;51,DOWN;null,LEFT;650;112;127;175;51,RIGHT;null,,72,DOWN,,72,1,1010,1
73,73,1,868,1010,UP;650;94;91;163;39,DOWN;null,LEFT;650;94;91;139;15,RIGHT;null,,73,DOWN,,73,1,1010,1
74,74,1,880,1010,UP;650;86;79;127;3,DOWN;null,LEFT;650;102;79;143;67,RIGHT;null,,74,DOWN,,74,1,1010,1
75,75,1,932,1010,UP;650;24;27;91;15,DOWN;null,LEFT;null,RIGHT;650;72;27;139;15,,75,UP,,75,1,1010,1
76,76,1,944,1010,UP;650;16;15;79;15,DOWN;null,LEFT;null,RIGHT;650;88;15;151;3,,76,UP,,76,1,1010,1
77,77,1,956,1010,UP;650;66;3;67;3,DOWN;null,LEFT;650;10;3;92;40,RIGHT;650;66;3;115;59,,77,LEFT,,77,1,1010,1
78,78,1,981,1010,UP;48;650;0;67;19,DOWN;96;650;0;163;15,LEFT;48;650;0;115;59,RIGHT;null,,78,DOWN,,78,1,1010,1
79,79,1,993,1010,UP;null,DOWN;118;650;0;151;27,LEFT;94;650;0;151;3,RIGHT;null,,79,DOWN,,79,1,1010,1
80,80,1,1005,1010,UP;null,DOWN;null,LEFT;96;650;0;139;15,RIGHT;136;650;0;179;79,,80,LEFT,,80,1,1010,1
81,81,1,1017,1010,UP;null,DOWN;112;650;0;167;87,LEFT;72;650;0;127;3,RIGHT;null,,81,DOWN,,81,1,1010,1
82,82,1,1041,1010,UP;null,DOWN;null,LEFT;96;650;0;175;63,RIGHT;64;650;0;143;67,,82,LEFT,,82,1,1010,1
84,84,1,1089,1010,UP;70;650;0;163;39,DOWN;null,LEFT;24;650;0;139;15,RIGHT;null,,84,DOWN,,84,1,1010,1

82,82,3,4,10,UP;null,DOWN;null,LEFT;650;650;0;47;3,RIGHT;650;650;0;83;3,,82,RIGHT,,82,321,720,1
84,84,3,52,130,UP;null,DOWN;null,LEFT;125;650;0;39;3,RIGHT;173;650;0;75;3,,84,LEFT,,84,261,720,1
85,85,3,64,160,UP;129;650;0;59;3,DOWN;null,LEFT;145;650;0;27;3,RIGHT;null,,85,LEFT,,85,231,720,1
