
6422,6422,3,31,80,UP;null,DOWN;null,LEFT;650;650;0;39;3,RIGHT;650;650;0;75;3,,6422,LEFT,,6422,31,6755,1
9016,9016,3,55,140,UP;122;650;0;59;3,DOWN;null,LEFT;151;650;0;27;3,RIGHT;null,,9016,LEFT,,9016,171,7425,1
9016,9016,3,107,310,UP;82;78;175;91;3,DOWN;null,LEFT;null,RIGHT;106;102;175;107;3,,9016,UP,,9016,31,4557,1
9016,9016,3,107,310,UP;82;78;175;91;3,DOWN;null,LEFT;null,RIGHT;106;102;175;107;3,,9016,UP,,9016,31,4557,1
3398,3398,3,133,380,UP;98;28;151;67;3,DOWN;null,LEFT;87;69;151;72;24,RIGHT;98;66;151;115;59,,3398,UP,,3398,261,6335,1
9016,9016,3,155,430,UP;12;82;127;43;3,DOWN;null,LEFT;null,RIGHT;90;6;127;91;35,,9016,RIGHT,,9016,601,7425,1
5176,5176,3,181,1040,UP;62;114;103;67;11,DOWN;128;106;103;115;59,LEFT;null,RIGHT;134;12;103;103;47,,5176,RIGHT,,5176,811,6725,1
20628,20628,3,385,1430,UP;80;7;91;124;55,DOWN;88;87;91;119;63,LEFT;null,RIGHT;40;55;91;84;15,,20628,UP,,20628,801,4540,1
13376,13376,3,275,570,UP;null,DOWN;null,LEFT;74;70;55;55;3,RIGHT;98;8;55;79;3,,13376,RIGHT,,13376,471,3355,1
17625,17625,2,536,2760,UP;650;650;0;35;3,DOWN;650;650;0;107;3,LEFT;650;650;0;27;15,RIGHT;null,,17625,UP,,17625,161,2885,1
5176,5176,2,281,1900,UP;50;650;0;43;3,DOWN;null,LEFT;null,RIGHT;81;650;0;91;35,,5176,UP,,5176,31,6725,1
5176,5176,2,293,1930,UP;117;650;0;31;3,DOWN;null,LEFT;26;650;0;56;24,RIGHT;null,,5176,UP,,5176,41,6725,1
5176,5176,2,309,1970,UP;null,DOWN;null,LEFT;90;650;0;15;3,RIGHT;90;650;0;47;3,,5176,LEFT,,5176,171,6725,1
20628,20628,2,550,2530,UP;null,DOWN;83;47;163;160;3,LEFT;80;71;163;136;3,RIGHT;83;71;163;171;3,,20628,DOWN,,20628,61,4540,1
21419,21419,2,301,710,UP;null,DOWN;54;40;183;72;3,LEFT;null,RIGHT;54;60;183;99;3,,21419,DOWN,,21419,41,4605,1
7544,7544,2,227,580,UP;null,DOWN;104;84;131;95;47,LEFT;14;36;131;103;47,RIGHT;110;4;131;92;23,,7544,RIGHT,,7544,411,2675,1
20003,20003,1,1559,3820,UP;650;650;0;107;3,DOWN;650;650;0;19;3,LEFT;650;650;0;67;3,RIGHT;null,,20003,DOWN,,20003,171,3785,1
21419,21419,1,565,1330,UP;null,DOWN;650;650;0;95;3,LEFT;650;650;0;108;3,RIGHT;null,,21419,LEFT,,21419,61,4605,1
3260,3260,1,509,2290,UP;null,DOWN;130;650;0;51;3,LEFT;90;650;0;83;3,RIGHT;null,,3260,DOWN,,3260,61,3165,1
3260,3260,1,533,2350,UP;null,DOWN;null,LEFT;114;650;0;87;3,RIGHT;82;650;0;27;3,,3260,RIGHT,,3260,161,2427,1
17574,17574,1,600,2090,UP;null,DOWN;137;650;0;111;3,LEFT;null,RIGHT;66;650;0;71;11,,17574,DOWN,,17574,81,2330,1
3260,3260,1,533,2350,UP;null,DOWN;null,LEFT;114;650;0;87;3,RIGHT;82;650;0;27;3,,3260,RIGHT,,3260,161,2427,1
3260,3260,1,633,3110,UP;650;75;127;120;31,DOWN;null,LEFT;650;30;127;144;35,RIGHT;null,,3260,LEFT,,3260,801,2058,1
21419,21419,1,822,1820,UP;null,DOWN;650;91;139;175;51,LEFT;650;6;139;164;15,RIGHT;null,,21419,LEFT,,21419,201,2054,1
17448,17448,1,887,1750,UP;650;54;163;79;15,DOWN;null,LEFT;650;64;163;151;3,RIGHT;null,,17448,LEFT,,17448,61,2130,1
21419,21419,1,822,1820,UP;null,DOWN;650;91;139;175;51,LEFT;650;6;139;164;15,RIGHT;null,,21419,LEFT,,21419,201,2054,1
21419,21419,1,822,1820,UP;null,DOWN;650;91;139;175;51,LEFT;650;6;139;164;15,RIGHT;null,,21419,LEFT,,21419,201,2054,1
3260,3260,1,633,3110,UP;650;75;127;120;31,DOWN;null,LEFT;650;30;127;144;35,RIGHT;null,,3260,LEFT,,3260,801,2058,1
21419,21419,1,822,1820,UP;null,DOWN;650;91;139;175;51,LEFT;650;6;139;164;15,RIGHT;null,,21419,LEFT,,21419,201,2054,1
3260,3260,1,633,3110,UP;650;75;127;120;31,DOWN;null,LEFT;650;30;127;144;35,RIGHT;null,,3260,LEFT,,3260,801,2058,1
16823,16823,1,958,2190,UP;650;69;123;84;36,DOWN;null,LEFT;null,RIGHT;650;93;123;119;3,,16823,RIGHT,,16823,61,2665,1
16823,16823,1,1042,2330,UP;650;139;39;107;3,DOWN;null,LEFT;null,RIGHT;650;163;39;75;3,,16823,UP,,16823,91,2665,1
15645,15645,1,1135,3690,UP;null,DOWN;null,LEFT;30;650;0;139;83,RIGHT;102;650;0;128;3,,15645,RIGHT,,15645,51,2210,1
18295,18295,1,783,1900,UP;null,DOWN;175;650;0;167;3,LEFT;null,RIGHT;103;650;0;127;39,,18295,DOWN,,18295,51,2827,1
14690,14690,1,1066,3160,UP;null,DOWN;null,LEFT;68;650;0;123;3,RIGHT;68;650;0;147;27,,14690,LEFT,,14690,21,3020,1
17448,17448,1,739,1450,UP;86;650;0;95;3,DOWN;null,LEFT;104;650;0;143;3,RIGHT;null,,17448,UP,,17448,91,2130,1
15645,15645,1,1135,3690,UP;null,DOWN;null,LEFT;30;650;0;139;83,RIGHT;102;650;0;128;3,,15645,RIGHT,,15645,51,2210,1
18295,18295,1,783,1900,UP;null,DOWN;175;650;0;167;3,LEFT;null,RIGHT;103;650;0;127;39,,18295,DOWN,,18295,51,2827,1
18295,18295,1,915,2060,UP;null,DOWN;null,LEFT;139;650;0;127;83,RIGHT;67;650;0;103;3,,18295,RIGHT,,18295,51,3965,1
