
15885,15885,3,42,110,UP;87;650;0;71;3,DOWN;null,LEFT;null,RIGHT;127;650;0;83;3,,15885,UP,,15885,31,3380,1
16588,16588,3,59,190,UP;58;650;0;79;3,DOWN;null,LEFT;null,RIGHT;84;650;0;119;3,,16588,UP,,16588,31,2755,1
8290,8290,3,454,1340,UP;58;650;0;67;3,DOWN;null,LEFT;119;650;0;92;28,RIGHT;58;650;0;115;59,,8290,UP,,8290,61,5775,1
19255,19255,3,64,160,UP;66;650;0;43;3,DOWN;null,LEFT;null,RIGHT;65;650;0;91;35,,19255,UP,,19255,31,4255,1
10764,10764,3,57,40,UP;102;650;0;31;3,DOWN;null,LEFT;61;650;0;56;24,RIGHT;null,,10764,UP,,10764,41,4850,1
8560,8560,3,88,140,UP;null,DOWN;null,LEFT;130;650;0;15;3,RIGHT;97;650;0;47;3,,8560,LEFT,,8560,171,4895,1
6050,6050,3,349,890,UP;null,DOWN;650;58;163;119;3,LEFT;650;26;163;87;3,RIGHT;650;82;163;84;3,,6050,LEFT,,6050,31,6185,1
7,7,3,182,530,UP;null,DOWN;650;29;151;72;40,LEFT;650;93;151;136;55,RIGHT;null,,7,DOWN,,7,1,1550,1
16520,16520,3,192,650,UP;null,DOWN;650;43;111;107;47,LEFT;650;11;111;83;35,RIGHT;null,,16520,LEFT,,16520,411,2177,1
8560,8560,3,193,340,UP;650;32;110;31;3,DOWN;650;10;110;83;3,LEFT;null,RIGHT;null,,8560,DOWN,,8560,231,4895,1
16520,16520,3,192,650,UP;null,DOWN;650;43;111;107;47,LEFT;650;11;111;83;35,RIGHT;null,,16520,LEFT,,16520,411,2177,1
5864,5864,2,355,970,UP;null,DOWN;null,LEFT;650;650;0;71;11,RIGHT;650;650;0;59;3,,5864,RIGHT,,5864,31,6335,1
12922,12922,2,677,3100,UP;650;650;0;135;3,DOWN;null,LEFT;null,RIGHT;650;650;0;95;3,,12922,UP,,12922,141,6765,1
5176,5176,2,309,1970,UP;null,DOWN;null,LEFT;90;650;0;15;3,RIGHT;90;650;0;47;3,,5176,LEFT,,5176,171,6655,1
1421,1421,2,575,2030,UP;88;650;0;71;3,DOWN;null,LEFT;112;650;0;87;3,RIGHT;null,,1421,UP,,1421,31,6175,1
5864,5864,2,379,1030,UP;null,DOWN;null,LEFT;83;650;0;119;59,RIGHT;107;650;0;59;3,,5864,RIGHT,,5864,61,6335,1
10149,10149,2,388,1170,UP;43;650;0;79;3,DOWN;115;650;0;35;3,LEFT;null,RIGHT;null,,10149,DOWN,,10149,31,6770,1
5864,5864,2,415,1120,UP;null,DOWN;null,LEFT;99;650;0;63;3,RIGHT;155;650;0;23;3,,5864,RIGHT,,5864,171,6335,1
5864,5864,2,467,1290,UP;650;71;171;119;3,DOWN;null,LEFT;650;119;171;87;3,RIGHT;null,,5864,UP,,5864,61,6335,1
