
1,1,3,49,150,58,27,UP;48;2147483647;-1;2147483647,DOWN;120;2147483647;-1;2147483647,RIGHT;null,LEFT;72;2147483647;-1;2147483647,,1,UP,,1,-5,1
7,7,3,45,330,118,83,UP;44;15;166;2147483647,DOWN;116;87;166;2147483647,RIGHT;null,LEFT;68;95;166;2147483647,,7,UP,,7,0,1
3,3,3,49,180,70,15,UP;null,DOWN;null,RIGHT;72;2147483647;-1;99,LEFT;48;2147483647;-1;99,,3,LEFT,,3,7,1
4,4,3,69,200,78,7,UP;68;2147483647;-1;19,DOWN;122;2147483647;-1;115,RIGHT;null,LEFT;74;2147483647;-1;83,,4,UP,,4,-1,1
8,8,3,45,360,130,81,UP;null,DOWN;null,RIGHT;44;9;154;2147483647,LEFT;44;69;154;2147483647,,8,LEFT,,8,0,1
9,9,3,45,430,158,67,UP;108;91;126;2147483647,DOWN;null,RIGHT;44;27;126;2147483647,LEFT;108;91;126;2147483647,,9,RIGHT,,9,2,1
10,10,3,45,460,170,55,UP;44;85;114;2147483647,DOWN;null,RIGHT;50;9;114;2147483647,LEFT;null,,10,UP,,10,7,1
11,11,3,43,610,230,3,UP;null,DOWN;null,RIGHT;42;19;54;2147483647,LEFT;98;23;54;2147483647,,11,LEFT,,11,4,1
16,16,3,81,3880,340,135,UP;null,DOWN;null,RIGHT;80;2147483647;-1;4,LEFT;92;2147483647;-1;109,,16,RIGHT,,16,10,1
19,19,3,39,3880,356,151,UP;102;2147483647;-1;100,DOWN;null,RIGHT;102;2147483647;-1;65,LEFT;38;2147483647;-1;60,,19,LEFT,,19,6,1
22,22,3,39,3880,368,145,UP;38;2147483647;-1;113,DOWN;null,RIGHT;null,LEFT;56;2147483647;-1;41,,22,LEFT,,22,30,1
17,17,3,76,3880,353,148,UP;75;2147483647;-1;36,DOWN;147;2147483647;-1;100,RIGHT;99;2147483647;-1;66,LEFT;null,,17,UP,,17,32,1
30,30,2,106,4070,453,102,UP;174;2147483647;-1;2147483647,DOWN;105;2147483647;-1;2147483647,RIGHT;118;2147483647;-1;2147483647,LEFT;null,,30,DOWN,,30,20,1
32,32,2,86,4100,465,98,UP;null,DOWN;85;2147483647;-1;99,RIGHT;94;2147483647;-1;91,LEFT;null,,32,DOWN,,32,0,1
33,33,2,99,4120,473,99,UP;154;2147483647;-1;123,DOWN;98;2147483647;-1;19,RIGHT;98;2147483647;-1;91,LEFT;null,,33,RIGHT,,33,-20,1
38,38,2,95,4150,497,118,UP;118;2147483647;-1;76,DOWN;94;2147483647;-1;91,RIGHT;null,LEFT;null,,38,UP,,38,-8,1
43,43,2,50,4150,525,90,UP;null,DOWN;49;2147483647;-1;75,RIGHT;null,LEFT;73;2147483647;-1;51,,43,DOWN,,43,4,1
40,40,2,90,4150,505,110,UP;null,DOWN;113;2147483647;-1;27,RIGHT;null,LEFT;89;2147483647;-1;91,,40,LEFT,,40,16,1
47,47,2,74,4180,541,74,UP;169;2147483647;-1;19,DOWN;73;2147483647;-1;51,RIGHT;null,LEFT;130;2147483647;-1;92,,47,DOWN,,47,0,1
46,46,2,94,4170,537,78,UP;167;2147483647;-1;8,DOWN;93;2147483647;-1;27,RIGHT;null,LEFT;null,,46,DOWN,,46,0,1
50,50,2,74,4210,553,62,UP;null,DOWN;73;2147483647;-1;51,RIGHT;97;2147483647;-1;51,LEFT;null,,50,DOWN,,50,0,1
45,45,2,46,4170,537,78,UP;null,DOWN;null,RIGHT;49;2147483647;-1;112,LEFT;45;2147483647;-1;51,,45,RIGHT,,45,0,1
52,52,2,74,4240,565,50,UP;null,DOWN;null,RIGHT;73;2147483647;-1;51,LEFT;89;2147483647;-1;83,,52,RIGHT,,52,0,1
51,51,2,94,4230,561,54,UP;null,DOWN;93;2147483647;-1;19,RIGHT;165;2147483647;-1;86,LEFT;110;2147483647;-1;108,,51,DOWN,,51,0,1
55,55,2,74,4270,577,38,UP;null,DOWN;73;2147483647;-1;43,RIGHT;73;2147483647;-1;43,LEFT;null,,55,RIGHT,,55,-48,1
48,48,2,103,4190,546,69,UP;null,DOWN;102;2147483647;-1;8,RIGHT;150;2147483647;-1;76,LEFT;null,,48,DOWN,,48,-24,1
58,58,2,94,4320,597,18,UP;null,DOWN;93;2147483647;-1;3,RIGHT;117;2147483647;-1;56,LEFT;null,,58,DOWN,,58,-19,1
57,57,2,74,4300,589,26,UP;121;2147483647;-1;19,DOWN;null,RIGHT;73;2147483647;-1;51,LEFT;null,,57,UP,,57,2,1
49,49,2,46,4200,549,66,UP;null,DOWN;45;2147483647;-1;99,RIGHT;73;2147483647;-1;104,LEFT;null,,49,DOWN,,49,-59,1
56,56,2,46,4290,585,30,UP;null,DOWN;null,RIGHT;45;2147483647;-1;99,LEFT;117;2147483647;-1;43,,56,RIGHT,,56,-106,1
63,63,2,53,4650,814,2147483647,UP;52;2147483647;-1;43,DOWN;100;2147483647;-1;47,RIGHT;null,LEFT;null,,63,UP,,63,-14,1
64,64,2,38,4650,817,2147483647,UP;null,DOWN;null,RIGHT;37;2147483647;-1;32,LEFT;81;2147483647;-1;90,,64,RIGHT,,64,0,1
65,65,2,57,4650,822,2147483647,UP;94;2147483647;-1;101,DOWN;56;2147483647;-1;27,RIGHT;null,LEFT;null,,65,DOWN,,65,-30,1
62,62,2,53,4650,814,2147483647,UP;null,DOWN;null,RIGHT;76;2147483647;-1;23,LEFT;52;2147483647;-1;38,,62,LEFT,,62,10,1
66,66,2,29,4650,826,2147483647,UP;66;2147483647;-1;19,DOWN;null,RIGHT;127;2147483647;-1;93,LEFT;28;2147483647;-1;62,,66,UP,,66,-64,1
67,67,2,34,4650,829,2147483647,UP;null,DOWN;85;2147483647;-1;8,RIGHT;33;2147483647;-1;62,LEFT;null,,67,DOWN,,67,-4,1
69,69,2,9,4650,846,2147483647,UP;null,DOWN;104;2147483647;-1;42,RIGHT;130;2147483647;-1;101,LEFT;8;2147483647;-1;51,,69,DOWN,,69,-54,1
71,71,2,38,4650,853,2147483647,UP;null,DOWN;61;2147483647;-1;52,RIGHT;37;2147483647;-1;28,LEFT;null,,71,DOWN,,71,24,1
73,73,2,43,4650,862,2147483647,UP;66;2147483647;-1;47,DOWN;null,RIGHT;42;2147483647;-1;51,LEFT;null,,73,RIGHT,,73,80,1
78,78,1,152,4660,922,2147483647,UP;null,DOWN;null,RIGHT;151;2147483647;-1;2147483647,LEFT;127;2147483647;-1;2147483647,,78,LEFT,,78,72,1
77,77,2,14,4650,877,2147483647,UP;null,DOWN;77;2147483647;-1;68,RIGHT;13;2147483647;-1;18,LEFT;null,,77,RIGHT,,77,80,1
80,80,1,132,4660,942,2147483647,UP;null,DOWN;null,RIGHT;131;2147483647;-1;99,LEFT;119;2147483647;-1;19,,80,RIGHT,,80,47,1
79,79,1,104,4660,940,2147483647,UP;159;2147483647;-1;2147483647,DOWN;103;2147483647;-1;2147483647,RIGHT;null,LEFT;103;2147483647;-1;2147483647,,79,DOWN,,79,48,1
76,76,2,63,4650,870,2147483647,UP;null,DOWN;null,RIGHT;96;2147483647;-1;82,LEFT;62;2147483647;-1;18,,76,RIGHT,,76,80,1
70,70,2,67,4650,850,2147483647,UP;102;2147483647;-1;101,DOWN;null,RIGHT;null,LEFT;66;2147483647;-1;47,,70,UP,,70,80,1
81,81,1,80,4660,952,2147483647,UP;null,DOWN;79;2147483647;-1;79,RIGHT;null,LEFT;79;2147483647;-1;111,,81,DOWN,,81,40,1
74,74,2,93,4650,862,2147483647,UP;122;2147483647;-1;79,DOWN;null,RIGHT;92;2147483647;-1;101,LEFT;null,,74,RIGHT,,74,80,1
82,82,1,96,4660,960,2147483647,UP;164;2147483647;-1;111,DOWN;95;2147483647;-1;63,RIGHT;108;2147483647;-1;116,LEFT;null,,82,DOWN,,82,83,1
