
3,3,3,129,240,80,106,UP;null,DOWN;null,RIGHT;128;2;189;2147483647,LEFT;103;22;189;2147483647,,3,RIGHT,,3,4,1
5,5,3,109,290,100,86,UP;null,DOWN;null,RIGHT;108;106;169;19,LEFT;83;6;169;103,,5,RIGHT,,5,4,1
4,4,3,93,290,98,88,UP;148;95;171;2147483647,DOWN;92;87;171;2147483647,RIGHT;92;100;171;2147483647,LEFT;null,,4,UP,,4,24,1
7,7,3,73,340,118,68,UP;128;93;151;19,DOWN;72;85;151;115,RIGHT;72;98;151;83,LEFT;null,,7,UP,,7,-8,1
9,9,3,69,390,138,48,UP;108;115;131;83,DOWN;null,RIGHT;68;75;131;83,LEFT;103;75;131;59,,9,LEFT,,9,13,1
8,8,3,105,370,130,56,UP;null,DOWN;null,RIGHT;104;107;139;19,LEFT;115;83;139;59,,8,RIGHT,,8,24,1
10,10,3,80,400,150,52,UP;119;125;119;115,DOWN;null,RIGHT;null,LEFT;79;57;119;59,,10,LEFT,,10,56,1
12,12,3,56,400,162,64,UP;null,DOWN;79;39;107;59,RIGHT;null,LEFT;55;71;107;99,,12,DOWN,,12,0,1
15,15,3,56,420,218,52,UP;87;75;51;3,DOWN;null,RIGHT;79;75;51;59,LEFT;55;67;51;83,,15,RIGHT,,15,80,1
20,20,2,80,470,290,33,UP;null,DOWN;null,RIGHT;79;2147483647;-1;19,LEFT;52;2147483647;-1;103,,20,LEFT,,20,27,1
21,21,2,53,520,308,15,UP;52;2147483647;-1;108,DOWN;100;2147483647;-1;100,RIGHT;null,LEFT;52;2147483647;-1;76,,21,UP,,21,-5,1
19,19,2,64,470,288,35,UP;95;2147483647;-1;2147483647,DOWN;105;2147483647;-1;2147483647,RIGHT;63;2147483647;-1;2147483647,LEFT;null,,19,RIGHT,,19,-19,1
16,16,3,20,430,222,48,UP;null,DOWN;19;9;47;83,RIGHT;83;73;47;3,LEFT;59;69;47;83,,16,DOWN,,16,80,1
23,23,2,58,530,312,11,UP;57;2147483647;-1;76,DOWN;105;2147483647;-1;91,RIGHT;null,LEFT;null,,23,DOWN,,23,-1,1
17,17,3,64,450,230,40,UP;null,DOWN;79;82;39;83,RIGHT;63;57;39;59,LEFT;null,,17,RIGHT,,17,80,1
26,26,2,87,660,348,96,UP;86;75;174;2147483647,DOWN;134;75;174;2147483647,RIGHT;99;27;174;2147483647,LEFT;null,,26,UP,,26,22,1
27,27,2,65,690,360,86,UP;null,DOWN;null,RIGHT;88;57;162;2147483647,LEFT;64;73;162;2147483647,,27,RIGHT,,27,0,1
24,24,2,53,550,320,3,UP;null,DOWN;null,RIGHT;76;2147483647;-1;99,LEFT;52;2147483647;-1;99,,24,RIGHT,,24,-54,1
31,31,1,81,1050,449,57,UP;null,DOWN;null,RIGHT;80;2147483647;-1;2147483647,LEFT;92;2147483647;-1;2147483647,,31,LEFT,,31,-19,1
33,33,1,95,1100,469,43,UP;null,DOWN;null,RIGHT;94;2147483647;-1;103,LEFT;106;2147483647;-1;19,,33,RIGHT,,33,-56,1
28,28,2,65,960,388,93,UP;128;79;134;2147483647,DOWN;null,RIGHT;99;39;134;2147483647,LEFT;64;67;134;2147483647,,28,LEFT,,28,80,1
32,32,1,87,1090,467,45,UP;166;2147483647;-1;2147483647,DOWN;86;2147483647;-1;2147483647,RIGHT;null,LEFT;117;2147483647;-1;2147483647,,32,LEFT,,32,1,1
