
0,0,3,100,40,68,UP;null,DOWN;null,RIGHT;98;2147483647;2147483647;-1,LEFT;102;2147483647;2147483647;-1,,0,RIGHT,,0,70,1
1,1,3,140,58,50,UP;62;2147483647;2147483647;-1,DOWN;86;2147483647;2147483647;-1,RIGHT;62;2147483647;2147483647;-1,LEFT;null,,1,UP,,1,100,1
2,2,3,150,60,48,UP;null,DOWN;null,RIGHT;78;2147483647;2147483647;-1,LEFT;90;2147483647;2147483647;-1,,2,RIGHT,,2,100,1
4,4,3,190,78,30,UP;42;2147483647;2147483647;-1,DOWN;66;2147483647;2147483647;-1,RIGHT;42;2147483647;2147483647;-1,LEFT;null,,4,RIGHT,,4,140,1
3,3,3,170,70,38,UP;null,DOWN;null,RIGHT;38;2147483647;2147483647;-1,LEFT;42;2147483647;2147483647;-1,,3,RIGHT,,3,180,1
5,5,3,200,80,28,UP;null,DOWN;null,RIGHT;58;2147483647;2147483647;-1,LEFT;94;2147483647;2147483647;-1,,5,RIGHT,,5,150,1
9,9,3,250,102,6,UP;38;2147483647;2147483647;28,DOWN;86;2147483647;2147483647;28,RIGHT;null,LEFT;null,,9,UP,,9,390,1
7,7,3,240,98,10,UP;58;2147483647;2147483647;-1,DOWN;58;2147483647;2147483647;-1,RIGHT;58;2147483647;2147483647;-1,LEFT;null,,7,UP,,7,420,1
8,8,3,250,100,8,UP;null,DOWN;null,RIGHT;78;2147483647;2147483647;20,LEFT;103;2147483647;2147483647;20,,8,RIGHT,,8,410,1
6,6,3,240,98,10,UP;18;2147483647;2147483647;-1,DOWN;null,RIGHT;18;2147483647;2147483647;-1,LEFT;46;2147483647;2147483647;-1,,6,RIGHT,,6,420,1
10,10,3,660,199,89,UP;null,DOWN;null,RIGHT;3;36;108;2147483647,LEFT;117;36;108;2147483647,,10,LEFT,,10,30,1
11,11,3,660,217,71,UP;3;31;90;2147483647,DOWN;3;31;90;2147483647,RIGHT;null,LEFT;117;31;90;2147483647,,11,RIGHT,,11,60,1
