
2,2,3,98,230,131,173,90,UP;121;19;173;2147483647,DOWN;97;39;173;2147483647,RIGHT;null,LEFT;null,,2,UP,,2,-56,1
1,1,3,118,210,123,181,98,UP;null,DOWN;117;116;181;2147483647,RIGHT;150;47;181;2147483647,LEFT;null,,1,RIGHT,,1,12,1
0,0,3,106,190,115,189,106,UP;161;107;189;2147483647,DOWN;null,RIGHT;166;19;189;2147483647,LEFT;105;75;189;2147483647,,0,UP,,0,-28,1
6,6,3,118,330,171,133,82,UP;141;55;133;2147483647,DOWN;null,RIGHT;117;95;133;2147483647,LEFT;null,,6,UP,,6,-21,1
3,3,3,158,250,139,165,82,UP;null,DOWN;null,RIGHT;181;83;165;2147483647,LEFT;157;99;165;2147483647,,3,RIGHT,,3,32,1
5,5,3,130,290,155,149,86,UP;185;19;149;2147483647,DOWN;null,RIGHT;157;39;149;2147483647,LEFT;129;99;149;2147483647,,5,UP,,5,36,1
10,10,3,134,390,195,109,86,UP;null,DOWN;null,RIGHT;133;51;109;2147483647,LEFT;133;59;109;2147483647,,10,RIGHT,,10,35,1
4,4,3,130,270,147,157,78,UP;202;75;157;2147483647,DOWN;129;23;157;2147483647,RIGHT;146;95;157;2147483647,LEFT;null,,4,DOWN,,4,107,1
8,8,3,154,350,179,125,74,UP;null,DOWN;null,RIGHT;177;19;125;2147483647,LEFT;153;59;125;2147483647,,8,RIGHT,,8,59,1
9,9,3,106,390,195,109,86,UP;161;51;109;2147483647,DOWN;null,RIGHT;118;71;109;2147483647,LEFT;105;55;109;2147483647,,9,UP,,9,51,1
7,7,3,94,330,171,133,82,UP;null,DOWN;93;79;133;2147483647,RIGHT;117;95;133;2147483647,LEFT;null,,7,RIGHT,,7,46,1
11,11,3,139,450,219,85,90,UP;null,DOWN;null,RIGHT;138;51;85;2147483647,LEFT;149;27;85;2147483647,,11,RIGHT,,11,54,1
13,13,3,94,470,235,69,74,UP;null,DOWN;null,RIGHT;130;19;69;2147483647,LEFT;93;75;69;2147483647,,13,RIGHT,,13,45,1
15,15,3,23,470,243,61,70,UP;98;71;61;2147483647,DOWN;118;119;61;2147483647,RIGHT;22;116;61;2147483647,LEFT;null,,15,RIGHT,,15,-25,1
12,12,3,126,450,219,85,90,UP;null,DOWN;125;27;85;2147483647,RIGHT;134;51;85;2147483647,LEFT;null,,12,RIGHT,,12,51,1
16,16,3,95,670,259,45,55,UP;null,DOWN;94;47;45;2147483647,RIGHT;94;19;45;2147483647,LEFT;null,,16,DOWN,,16,33,1
